New mode =, SurroundingModel , dataset_limit=,1500,estimation_limit=,300,estimation_dist=,0.9,estimation_min_group_size=,15,threshold_hit=,0,threshold_distance=,0.5,hit_score=,1,miss_score=,-4,hit_position=,0.5,miss_position=,0.9,nearest_sum_n=,2,queue_sum_n=,1,input_coef_avg_best=,0.1,output_size_avg_best=,0,random_sample_coef=,0.4,input_size_avg_worst=,1500,output_coef_avg_worst=,0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.84837,-0.598888,0.423204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3.02083,-1.56149,0.416501,3.02771,-0.567729,0.433196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3.03914,-1.56187,0.414662,3.09846,0.585674,0.507518,3.46926,4.06874,0.508989,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3.04482,-1.61161,0.464983,2.97842,0.531771,0.494005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3.27538,-1.64597,0.49355,3.12011,0.456222,0.476507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3.39908,-0.143812,0.480487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3.14213,-0.275288,0.50066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3.46789,-1.61003,0.500187,3.11944,0.309481,0.522896,12.0812,1.03737,0.553721,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3.41682,-1.59283,0.498182,2.85978,0.372126,0.533496,-0.0873474,-4.23545,0.581074,13.3734,2.43145,0.478687,11.9158,0.863075,0.649492,,,,,,,,,,,,,,,,,,,,
17,3.41682,-1.59283,0.498182,3.11944,0.309481,0.522896,-0.152193,-3.62399,0.568046,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3.46261,-1.60326,0.510438,3.32493,1.47699,0.469783,-0.0833242,-3.71434,0.563242,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3.46028,-1.60025,0.525908,2.93062,-0.683662,0.479656,3.00365,1.68794,0.455915,-0.183301,-3.62013,0.535565,,,,,,,,,,,,,,,,,,,,,,,
20,3.1082,-0.675611,0.485212,4.25239,2.09165,0.469278,-0.0517127,-3.75646,0.578924,,,,,,,,,,,,,,,,,,,,,,,,,,
